page,product,brand,price,image,type,price_level
https://www.saksfifthavenue.com/saks-fifth-avenue-pvc-grid-pattern-logo-shopper/product/0400010191153?FOLDER%3C%3Efolder_id=2534374306622889&R=811005026847&P_name=Saks+Fifth+Avenue&N=306622889&bmUID=m.j8Rfj,PVC Grid Pattern Logo Shopper,Saks Fifth Avenue,$75.00,https://image.s5a.com/is/image/saks/0400010191153_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/gucci-gg-supreme-tote/product/0400099800005?FOLDER%3C%3Efolder_id=2534374306622889&R=888108715978&P_name=Gucci&N=306622889&bmUID=m.j8Rfk,GG Supreme Tote,Gucci,$890.00,https://image.s5a.com/is/image/saks/0400099800005_247x329.jpg,tote_bags,less 1000
https://www.saksfifthavenue.com/saks-fifth-avenue-calendar-pvc-shopper/product/0400010191133?FOLDER%3C%3Efolder_id=2534374306622889&R=811005026823&P_name=Saks+Fifth+Avenue&N=306622889&bmUID=m.j8Rfm,Calendar PVC Shopper,Saks Fifth Avenue,$75.00,https://image.s5a.com/is/image/saks/0400010191133_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/mcm-large-liz-reversible-visetos-shopper/product/0400090165671?FOLDER%3C%3Efolder_id=2534374306622889&R=8806195890684&P_name=MCM&N=306622889&bmUID=m.j8Rfn,Large Liz Reversible Visetos Shopper,MCM,$725.00,https://image.s5a.com/is/image/saks/0400090165671_247x329.jpg,tote_bags,less 750
https://www.saksfifthavenue.com/tory-burch-ella-nylon-tote/product/0400011415016?FOLDER%3C%3Efolder_id=2534374306622889&R=190041974788&P_name=Tory+Burch&N=306622889&bmUID=m.j8Rfp,Ella Nylon Tote,Tory Burch,$198.00,https://image.s5a.com/is/image/saks/0400011415016_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/saks-fifth-avenue-calendar-pvc-shopper/product/0400010191148?FOLDER%3C%3Efolder_id=2534374306622889&R=811005026830&P_name=Saks+Fifth+Avenue&N=306622889&bmUID=m.j8Rfs,Calendar PVC Shopper,Saks Fifth Avenue,$75.00,https://image.s5a.com/is/image/saks/0400010191148_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/saint-laurent-north-south-leather-shopper/product/0400012037288?FOLDER%3C%3Efolder_id=2534374306622889&R=190617536808&P_name=Saint+Laurent&N=306622889&bmUID=m.j8Rfu,North-South Leather Shopper,Saint Laurent,$995.00,https://image.s5a.com/is/image/saks/0400012037288_247x329.jpg,tote_bags,less 1000
https://www.saksfifthavenue.com/gucci-ophidia-gg-tote/product/0400099787090?FOLDER%3C%3Efolder_id=2534374306622889&R=192575072787&P_name=Gucci&N=306622889&bmUID=m.j8Rfv,Ophidia GG Tote,Gucci,$1650.00,https://image.s5a.com/is/image/saks/0400099787090_247x329.jpg,tote_bags,higher 1000
https://www.saksfifthavenue.com/mcm-medium-project-visetos-reversible-shopper/product/0400012134027?FOLDER%3C%3Efolder_id=2534374306622889&R=8809630698432&P_name=MCM&N=306622889&bmUID=m.j8Rfx,Medium Project Visetos Reversible Shopper,MCM,$695.00,https://image.s5a.com/is/image/saks/0400012134027_247x329.jpg,tote_bags,less 750
https://www.saksfifthavenue.com/tumi-tumi-voyageur-just-in-case-tote/product/0400099208699?FOLDER%3C%3Efolder_id=2534374306622889&R=742315442044&P_name=Tumi&N=306622889&bmUID=m.j8Rfy,Tumi Voyageur Just In Case Tote,Tumi,$100.00,https://image.s5a.com/is/image/saks/0400099208699_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/saks-fifth-avenue-calendar-canvas-tote-bag/product/0400010191195?FOLDER%3C%3Efolder_id=2534374306622889&R=811005026854&P_name=Saks+Fifth+Avenue&N=306622889&bmUID=m.j8RfA,Calendar Canvas Tote Bag,Saks Fifth Avenue,$45.00,https://image.s5a.com/is/image/saks/0400010191195_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/saint-laurent-large-leather-shopper/product/0400092371732?FOLDER%3C%3Efolder_id=2534374306622889&R=190617020321&P_name=Saint+Laurent&N=306622889&bmUID=m.j8RfD,Large Leather Shopper,Saint Laurent,$995.00,https://image.s5a.com/is/image/saks/0400092371732_247x329.jpg,tote_bags,less 1000
https://www.saksfifthavenue.com/saks-fifth-avenue-five-day-calendar-canvas-tote-bag/product/0400010191208?FOLDER%3C%3Efolder_id=2534374306622889&R=811005026861&P_name=Saks+Fifth+Avenue&N=306622889&bmUID=m.j8RfF,Five-Day Calendar Canvas Tote Bag,Saks Fifth Avenue,$45.00,https://image.s5a.com/is/image/saks/0400010191208_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/gucci-ophidia-gg-flora-medium-tote/product/0400011830751?FOLDER%3C%3Efolder_id=2534374306622889&R=192575306677&P_name=Gucci&N=306622889&bmUID=m.j8RfG,Ophidia GG Flora Medium Tote,Gucci,$1980.00,https://image.s5a.com/is/image/saks/0400011830751_247x329.jpg,tote_bags,higher 1000
https://www.saksfifthavenue.com/alexander-wang-medium-rocco-leather-satchel/product/0400011860012?FOLDER%3C%3Efolder_id=2534374306622889&R=192722125915&P_name=Alexander+Wang&N=306622889&bmUID=m.j8RfI,Medium Rocco Leather Satchel,Alexander Wang,$650.00,https://image.s5a.com/is/image/saks/0400011860012_247x329.jpg,tote_bags,less 750
https://www.saksfifthavenue.com/gucci-small-ophida-tote/product/0400099786620?FOLDER%3C%3Efolder_id=2534374306622889&R=192575074729&P_name=Gucci&N=306622889&bmUID=m.j8RfJ,Small Ophida Tote,Gucci,$1790.00,https://image.s5a.com/is/image/saks/0400099786620_247x329.jpg,tote_bags,higher 1000
https://www.saksfifthavenue.com/mz-wallace-medium-metro-tote/product/0400088470068?FOLDER%3C%3Efolder_id=2534374306622889&R=849835006241&P_name=MZ+Wallace&N=306622889&bmUID=m.j8RfL,Medium Metro Tote,MZ Wallace,$235.00,https://image.s5a.com/is/image/saks/0400088470068_247x329.jpg,tote_bags,less 250
https://www.saksfifthavenue.com/mz-wallace-small-max-tote/product/0400011868573?FOLDER%3C%3Efolder_id=2534374306622889&R=849835039010&P_name=MZ+Wallace&N=306622889&bmUID=m.j8RfM,Small Max Tote,MZ Wallace,$255.00,https://image.s5a.com/is/image/saks/0400011868573_247x329.jpg,tote_bags,less 500
