page,product,brand,price,image,type,price_level
https://us.shein.com/Geometric-Decor-Quilted-Chain-Bag-p-984836-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Geometric Decor Quilted Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/25/157726037134e06c7128d62326db585795167e66b0_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Croc-Embossed-Chain-Crossbody-Bag-p-948888-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Croc Embossed Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/30/1575095031abfc63052ddc9a695146f4c888da66ba_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Chain-Decor-Quilted-Crossbody-Bag-p-948911-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Chain Decor Quilted Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/30/15750962322bcfcf39c87f5eb1eb7a221bb61a1322_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Croc-Embossed-Heart-Shaped-Chain-Bag-p-970322-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Croc Embossed Heart Shaped Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/16/15764802531ee53825a1d91f3e4d84d598d9c4ce6d_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Quilted-Flap-Twist-Lock-Chain-Bag-p-970404-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Quilted Flap Twist Lock Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/16/15764810109c35c0cb2dec633069cb12d229d4e38f_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Toggle-Lock-Quilted-Flap-Chain-Bag-p-955397-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Toggle Lock Quilted Flap Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/04/15754457537ee98ba9d3243173420d27ae160dd526_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Metal-Lock-Detail-Quilted-Chain-Bag-p-913968-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Metal Lock Detail Quilted Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/08/1573176326da19293a8250d30623f8362e2ea80cea_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Studded-Pearl-Decor-Chain-Crossbody-Bag-p-918919-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Studded & Pearl Decor Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/09/15732729418894e7b74ff4ece8e2bc893c094baf93_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Heart-Shaped-New-Year-Chevron-Crossbody-Bag-p-897625-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Heart Shaped New Year Chevron Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/10/25/1571995256b4253f5ac185a2cf29d07abefd7eb3c7_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Tassel-Decor-Crossbody-Bag-p-930338-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Tassel Decor Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/16/15738876395d74d1e0ea6573c2dcc70d9e5d9d81ec_thumbnail_405x552.jpg,shein_crossbody,less 50
